Fall 2011,xyz,4D Tools: Motion Basics,0,1,Nicole,Bedard,10589,ARTF2221,18,18,
Fall 2010,xyz,Calculus 2 for Science and Engineering,0,4,Donald,King,10591,MATH1342,35,36,
Fall 2011,xyz,4D Foundation,0,4,Julia,Hechtman,10592,ARTF2220,18,18,
Fall 2012,xyz,Physics 1,0,4,Enrique,Moreno,10592,PHYS1161,70,57,
Fall 2011,xyz,Animation Studio 1,0,4,Andrew,Bouchard,10593,ARTD3470,15,8,
Fall 2012,xyz,Lab for CHEM 1211,0,1,Edward,Witten,10594,CHEM1212,19,15,
Fall 2009,xyz,Lab for PHYS 1155,0,1,Mengxi,Liu,10595,PHYS1156,10,10,
Fall 2011,xyz,Animation Basics,0,4,Dana,Masson,10596,ARTD2370,15,14,
Fall 2009,xyz,Physics for Engineering 2,0,4,Vasilka,Sopova,10598,PHYS1155,130,125,
Fall 2011,xyz,General Chemistry 1,0,4,Geoffrey,Davies,10598,CHEM1211,196,141,
Fall 2009,xyz,Physics for Engineering 2,0,4,George,Alverson,10599,PHYS1155,140,142,
Fall 2011,xyz,General Chemistry 1,0,4,Rein,Kirss,10599,CHEM1211,196,180,
Fall 2009,xyz,Lab for PHYS 1151,0,1,Leith,Rankine,10600,PHYS1152,10,10,
Fall 2012,xyz,College Writing,0,4,Amanda,Runyan,10603,ENGL1111,19,14,
Fall 2010,xyz,College Writing,0,4,Megan,McCormick,10614,ENGL1111,19,18,
Fall 2010,xyz,College Writing,0,4,Nicole,Day,10615,ENGL1111,19,16,
Fall 2009,xyz,Lab for PHYS 1145,0,1,Leith,Rankine,10616,PHYS1146,10,10,
Fall 2010,xyz,College Writing,0,4,Trudy,Stone,10616,ENGL1111,19,19,
Fall 2012,xyz,Recitation for CHEM 1211,0,0,Geoffrey,Davies,10617,CHEM1213,31,31,
Fall 2010,xyz,College Writing,0,4,Lauren,Thacker,10618,ENGL1111,19,9,
Fall 2012,xyz,Recitation for CHEM 1211,0,0,Rein,Kirss,10618,CHEM1213,30,17,
Fall 2012,xyz,Lab for CHEM 1211,0,1,Edward,Witten,10624,CHEM1212,19,18,
Fall 2011,xyz,Calculus 2 for Science and Engineering,0,4,Leonid,Petrov,10638,MATH1342,35,43,
Fall 2012,xyz,Lab for CHEM 1101,0,1,Edward,Witten,10644,CHEM1102,19,12,
Fall 2012,xyz,Introduction to Language and Linguistics,0,4,Mary,Hughes,10647,LING1150,19,19,
Fall 2010,xyz,Animation Studio 2,0,4,Benjamin,Ridgway,10648,ARTD4570,15,8,
Fall 2010,xyz,Photography 1,0,4,Andrea,Raynor,10650,ARTD3460,15,16,
Fall 2010,xyz,Interactive Foundation,0,4,Matthew,Rich,10652,ARTF2223,18,19,
